,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
14,2Ae5awwKvQpTBKQHr1TYCg,Dynamite (feat. Pretty Sister),Pretty Sister,48,2016-08-26,0.811,0.801,9,-6.0,0,0.0548,2.09e-05,0.0742,0.693,105.055,195429,4
15,6kP57bEoT8R9ytlGUfUTmB,Secrets,The Weeknd,0,2016-11-25,0.662,0.783,0,-5.759,1,0.0142,1.45e-05,0.27,0.728,109.952,265600,4
16,00xzzjRjiIhOXsagSUozdy,A Lonely Night,The Weeknd,0,2016-11-25,0.852,0.651,7,-7.04,0,0.0443,9.45e-06,0.0889,0.863,113.998,220173,4
17,1zF69Xru3AToRB87kAKqra,Die For You,The Weeknd,0,2016-11-25,0.587,0.514,1,-7.182,0,0.105,0.0,0.147,0.486,133.881,260253,4
18,0VeYT2aD9t65JgofFZGpKl,I Feel It Coming,Daft Punk,0,2016-11-17,0.768,0.814,0,-5.91,0,0.413,0.0,0.0839,0.541,92.979,269187,4
19,1a5Yu5L18qNxVhXx38njON,Hear Me Now,Zeeba,50,2016-01-01,0.788,0.43,11,-7.757,1,0.537,0.00261,0.0936,0.461,121.996,192846,4
20,5fX2oPyLCe5mBKqGDbOWqC,When You Love Someone,James TW,0,2016-04-15,0.68,0.446,7,-6.039,1,0.256,0.0,0.0515,0.339,125.863,216373,4
21,36tghkPg1AO4HsAzo6YpPp,House of Gold,Twenty One Pilots,66,2013-01-08,0.68,0.693,0,-7.234,1,0.445,0.0,0.208,0.851,114.948,163880,4
22,0HVj61S4pQJdQhgZP61G65,I Would Like,Zara Larsson,0,2016,0.486,0.713,2,-3.949,0,0.0853,0.0,0.0839,0.297,121.028,226720,4
23,3k1vSZK5NtpnC8Qjs9zEGj,Back Around,Olly Murs,0,2016-11-04,0.578,0.921,6,-3.309,0,0.00319,0.0,0.0685,0.678,102.029,174773,4
24,5nJWME6j2dfFSm5B6ayDrw,Grow Up,Olly Murs,0,2016-10-07,0.571,0.719,8,-3.914,1,0.279,0.0,0.0891,0.511,167.339,224773,4
25,4giCxIFPZNQIP4bIZM4sqH,Army of One,Coldplay,53,2015-12-04,0.387,0.659,3,-6.492,1,0.275,6.44e-05,0.0861,0.287,146.048,376827,4
26,5qfZRNjt2TkHEL12r3sDEU,Everglow,Coldplay,65,2015-12-04,0.534,0.445,4,-9.155,1,0.456,0.0684,0.112,0.136,146.107,282693,4
27,31L9yLXSj6LpCFupyMV6CR,Up&Up,Coldplay,66,2015-12-04,0.479,0.717,7,-5.459,1,0.0488,0.000333,0.102,0.253,163.989,405320,4
28,1K2a8QcaPTDTZ1e4M0s8gQ,Tandtråd,Tjuvjakt,58,2013-01-25,0.744,0.857,11,-5.315,0,0.148,0.0,0.0897,0.843,137.809,242320,4
29,09n5FTXMxUhK1SRtaFc7A8,Hjärtslag,Hov1,0,2016-10-21,0.712,0.746,6,-4.172,1,0.358,0.0,0.132,0.681,143.898,211227,4
30,2rizacJSyD9S1IQUxUxnsK,All We Know,Phoebe Ryan,68,2016-09-29,0.662,0.586,0,-8.821,1,0.097,0.00272,0.115,0.296,90.0,194080,4
31,4p9FY1RZyzDy0ZooahhIzh,Alla våra låtar,Norlie & KKV,29,2016-10-14,0.663,0.701,11,-5.085,0,0.122,0.0,0.242,0.705,99.977,230067,4
32,75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,82,2002-08-08,0.557,0.442,5,-7.224,1,0.731,1.46e-05,0.11,0.213,146.277,309600,4
33,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Kendrick Lamar,0,2016-10-11,0.783,0.623,7,-6.126,1,0.338,0.0,0.0975,0.447,100.048,214480,4
34,0YYCG2ltJNApmXDcXV5UvJ,Take The World By Storm,Lukas Graham,21,2016-09-16,0.589,0.865,10,-4.162,0,0.0387,0.0,0.114,0.467,86.336,191760,4
35,19W5OTEcQI3ZoRW1HERMyy,Cancer,Twenty One Pilots,60,2016-09-14,0.652,0.295,2,-11.045,1,0.281,1.03e-05,0.0809,0.196,75.065,236827,4
36,1CnPYaKxTVb4LWOtiGOm0m,All Time Low,Jon Bellion,69,2016-06-10,0.617,0.567,0,-4.188,1,0.0584,0.0,0.0933,0.505,90.246,217603,4
37,1w4E9XAYWn58p3H4tMRftt,Belong,Shapov,31,2016-09-19,0.567,0.883,6,-2.907,1,0.314,0.896,0.146,0.281,127.936,204375,4
38,6hdkw1wzhIRYPlYDUtCY5m,Love Me Now,John Legend,53,2016-10-07,0.416,0.773,8,-3.784,1,0.572,0.0,0.105,0.716,122.65,210307,4
39,4pLwZjInHj3SimIyN9SnOz,Side To Side,Nicki Minaj,0,2016-05-20,0.648,0.738,6,-5.883,0,0.0408,0.0,0.292,0.603,159.145,226160,4
40,0pmROgtlBAnAnxdMPWBCcG,Ain't Love Strange,Stanaj,0,2016-08-09,0.354,0.51,6,-6.82,0,0.251,0.0,0.145,0.208,85.557,200693,3
41,3Iyzdie1LZW22Z9S2hIvHl,You Don't Know Love,Olly Murs,0,2016-07-08,0.676,0.655,2,-5.705,0,0.00091,0.0,0.224,0.371,118.673,198480,4
42,1Pw5C4N6Fn5E4mGCxmbbVa,Say You Won't Let Go,James Arthur,66,2016-09-09,0.4,0.564,10,-7.444,1,0.693,0.0,0.0863,0.483,99.269,211240,4
43,3TRFq09DUgYj1mug6RRqJW,Lot to Learn,Luke Christopher,59,2015-09-11,0.405,0.846,6,-3.57,1,0.0948,0.0,0.0666,0.602,82.232,248337,4
44,4a87wpeqAcOv03pYihEzku,Broccoli (feat. Lil Yachty),Lil Yachty,55,2016-09-05,0.886,0.525,8,-7.39,1,0.236,0.0,0.057,0.708,145.99,225205,4
45,6F609ICg9Spjrw1epsAnpa,Controlla,Drake,0,2016-05-06,0.607,0.476,10,-11.076,0,0.0773,0.0,0.113,0.347,122.976,245227,5
46,7lQqaqZu0vjxzpdATOIsDt,Starboy,Daft Punk,0,2016-09-22,0.68,0.594,7,-7.021,1,0.159,2.35e-06,0.134,0.475,186.04,230467,4
47,4ogmvFOUj5eZIRROd883eO,Unstoppable,The Score,0,2016-07-15,0.486,0.845,1,-3.908,0,0.0014,2.44e-05,0.082,0.636,78.011,190467,4
48,0SWoZluxFh1KrrNyvzPSRy,Darling,Stiftelsen,0,2016-09-16,0.687,0.674,2,-6.986,1,0.0672,2.35e-05,0.0755,0.179,122.994,308293,4
49,0CgTuGTVzwPDd8o2rWH6DE,Imagination,Shawn Mendes,0,2015-04-13,0.481,0.455,0,-5.942,1,0.0743,0.0,0.0694,0.333,179.468,217773,4
50,5XxoHuEqz6PEaaIjM5mTgP,Eyes Shut,Years & Years,0,2015-07-10,0.589,0.689,0,-7.035,1,0.552,0.0,0.123,0.182,97.973,198227,4
51,3XIIOCu6B8PuGq5j61asEM,The Greatest,Kendrick Lamar,0,2016,0.666,0.723,1,-6.164,1,0.0109,0.00047,0.0507,0.739,192.024,210893,4
52,3vv9phIu6Y1vX3jcqaGz5Z,Roses,ROZES,72,2015-06-16,0.713,0.802,4,-7.055,1,0.0435,0.00377,0.309,0.343,100.001,226739,4
53,0BiGd2FNDQ0eh79ZHfp6tS,All I Wanna Do,Martin Jensen,49,2016-04-08,0.728,0.794,1,-3.992,1,0.148,0.0,0.0688,0.523,112.071,194360,4
54,014J7jX1wSv0manSdRnveo,Dancing On My Own - Tiësto Remix,Tiësto,0,2016-07-08,0.608,0.648,1,-5.569,1,0.0194,0.00104,0.0897,0.114,121.96,224392,4
55,3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,Joel Adams,70,2015-11-06,0.513,0.768,4,-4.868,0,0.0118,1.94e-05,0.294,0.235,84.264,210580,4
56,4lYTkvMkcNRj9uoSr8Zpws,Mercy,Shawn Mendes,0,2016-08-18,0.563,0.684,11,-4.916,0,0.109,0.0,0.11,0.405,147.92,208733,4
57,6jDs8NbcLoJJbonqyU2o1y,Angel Zoo,Phlake,0,2016-03-04,0.676,0.682,0,-5.213,1,0.215,3.12e-06,0.196,0.465,80.023,159723,4
58,747eWJy8c3u09N30NSqSTp,I'll Show You,Justin Bieber,0,2015-11-13,0.361,0.608,9,-6.757,0,0.05,7.96e-05,0.183,0.0789,191.812,199947,4
59,0L9lXMXddmoBbBUeF7A9An,Nervous (The Ooh Song) - Mark McCabe Remix,Mark McCabe,48,2016-06-24,0.432,0.874,7,-5.558,1,0.0732,6.14e-06,0.371,0.374,103.85,195195,4
60,5uFvYpEtruaJHk8Zh8rRCP,Beautiful Life,Sandro Cavazza,32,2016-06-03,0.725,0.523,2,-6.494,0,0.141,0.034,0.162,0.326,120.0,161907,4
61,1UQV61skkJGjGo3ZmjPwXX,Black Car,Miriam Bryant,32,2018-03-02,0.65,0.535,7,-8.433,1,0.0094,0.0,0.108,0.295,111.934,218571,4
62,06I7twfjJ763P5K2utISya,Better,Takida,47,2016-04-22,0.679,0.752,7,-6.966,1,0.126,0.00102,0.0989,0.645,140.968,207478,4
63,2bKhIGdMdcqCqQ2ZhSv5nE,Middle,Bipolar Sunshine,0,2015-10-16,0.564,0.737,9,-4.079,1,0.0175,0.0,0.054,0.211,104.764,220573,4
64,34vuwpTj9M0cFYJ0DeK97Z,Taste The Feeling (Avicii Vs. Conrad Sewell),Conrad Sewell,0,2016-03-11,0.638,0.792,6,-4.501,1,0.0337,0.0,0.0618,0.595,89.974,191066,4
65,0lmdsH1MIoLsMymnNpd6HU,Let Me Hold You (Turn Me On),Cheat Codes,0,2016-07-01,0.68,0.774,1,-3.136,0,0.101,0.0,0.113,0.331,102.949,163841,4
66,09mhA1SJjMHniZPF4Hcihn,Company,Justin Bieber,0,2015-11-13,0.59,0.797,4,-4.901,0,0.132,0.0,0.0846,0.425,94.948,208120,4
67,6aFc0W6xVS9kN9E9NGekAl,Toothbrush,DNCE,0,2015-10-23,0.558,0.785,7,-5.792,1,0.109,0.0,0.485,0.787,104.934,231813,4
68,1FMLd0ANP4dWhyTORMy298,Kids,OneRepublic,0,2016-08-12,0.592,0.736,2,-6.162,1,0.0165,0.0,0.347,0.223,100.03,240147,4
69,7KxhSJOYiqCDclXDBNlFSZ,Kill Em With Kindness,Selena Gomez,63,2015-10-09,0.757,0.884,10,-5.488,0,0.00795,5.87e-05,0.0973,0.398,120.012,217907,4
70,1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,JP Cooper,0,2016-06-03,0.742,0.819,1,-5.307,1,0.372,0.0,0.277,0.709,117.986,196613,4
71,7BKLCZ1jbUBVqRi2FVlTVw,Closer,Halsey,82,2016-07-29,0.748,0.524,8,-5.599,1,0.414,0.0,0.111,0.661,95.01,244960,4
72,2jEPQKvz7dh1pfpRyq6G1C,Snälla bli min,Veronica Maggio,54,2011-01-01,0.35,0.191,3,-12.946,1,0.929,0.000192,0.122,0.36,169.542,159093,4
73,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,Justin Bieber,1,2016-08-05,0.476,0.718,8,-5.309,1,0.0784,1.02e-05,0.122,0.142,199.864,205947,4
74,5omYVLodGmaxnhua99xIE8,A.M.,One Direction,64,2015-11-13,0.586,0.527,3,-4.905,1,0.227,0.0,0.0963,0.506,141.839,209040,4
75,4dASQiO1Eoo3RJvt74FtXB,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Ty Dolla $ign,74,2016-06-24,0.502,0.786,9,-4.378,0,0.255,0.0,0.65,0.739,169.021,243491,4
76,06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),Selena Gomez,78,2016-01-29,0.728,0.563,1,-8.053,0,0.621,0.0,0.179,0.352,100.017,217707,4
77,53MLQmyHFwaGQwi0t9XHKY,Kärleksbrev,Hov1,0,2016-03-07,0.766,0.717,6,-4.999,0,0.127,7.26e-06,0.104,0.286,115.033,199373,4
78,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),MØ,0,2016-07-22,0.608,0.798,6,-5.092,0,0.0736,0.0,0.156,0.501,92.943,185352,4
79,2iC6DfxAzUCtTwAwtbvvEz,Hurts So Good - Broiler Remix,Broiler,0,2016-07-29,0.666,0.738,5,-3.881,1,0.0796,8.76e-06,0.297,0.365,125.923,205747,4
80,7xT0GApaXGNVMUdRx2taZv,Hide Away,Daya,0,2015-11-27,0.884,0.826,11,-3.672,0,0.222,2.29e-06,0.0719,0.466,94.997,192381,4
81,4pGqFOfzvfe6avb9kbZicC,Sweater Weather,The Neighbourhood,60,2012-08-07,0.695,0.615,7,-5.325,0,0.15,0.000212,0.0879,0.414,124.015,240040,4
82,5cbpoIu3YjoOwbBDGUEp3P,Car Radio,Twenty One Pilots,69,2013-01-08,0.766,0.519,9,-7.355,0,0.098,0.0,0.0855,0.612,129.972,267720,4
83,6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,78,2016-06-16,0.732,0.396,4,-9.348,0,0.0841,3.58e-05,0.105,0.548,90.024,195920,4
84,2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,79,2015-05-15,0.645,0.713,6,-5.355,1,0.00835,0.0,0.113,0.566,74.989,214507,4
85,4UdIVrxefjL6NAEjh4haPq,All Eyez feat. Jeremih,Jeremih,0,2016-06-20,0.419,0.655,0,-6.679,1,0.0571,0.0,0.0962,0.353,76.835,215297,3
86,6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON (feat. Wisin),Wisin,67,2016-04-18,0.716,0.908,8,-3.254,0,0.0858,0.0,0.135,0.869,91.03,199693,4
87,6cREm4bV7V79Yxdilx9HDo,Once In a While,Timeflies,59,2016-03-18,0.786,0.687,0,-5.914,1,0.00758,0.0,0.619,0.345,105.021,215160,4
88,6UcTHiP25meOD9ox8Rspgx,Sing Me to Sleep,Alan Walker,0,2016-06-03,0.491,0.607,4,-6.333,0,0.0125,1.52e-06,0.289,0.166,176.112,189333,4
89,3jpViAo0HZOdT7Flyfne6j,Hey,Afrojack,0,2016-04-08,0.7,0.571,6,-6.575,0,0.16,8.77e-05,0.111,0.381,128.046,215625,4
90,53B2XmmjJ9rriW1qciMBeX,Treat You Better,Shawn Mendes,0,2016-06-03,0.45,0.825,10,-4.066,0,0.121,0.0,0.109,0.742,82.823,187973,4
91,1gFZDb5kvPayobaRnCiytK,Din Idiot,Norlie & KKV,0,2016-06-10,0.739,0.717,0,-4.579,1,0.0148,0.0,0.0615,0.431,104.968,220040,4
92,4qH3RkbFgzxYyXUD8YC8kr,Capsize,Emily Warren,0,2016-04-15,0.681,0.708,5,-6.019,0,0.042,0.14,0.676,0.356,92.993,237581,4
93,5JlqbEj7Bbh2RdZgcO5kJE,One Day,Matisyahu,54,2009-08-10,0.346,0.61,0,-5.818,1,0.198,0.0,0.117,0.235,68.552,207573,4
94,7ilS0BPWS8ek2P2GaxH3cP,When We Were Young,Adele,0,2016-02-05,0.377,0.595,3,-5.936,1,0.303,0.0,0.095,0.264,144.464,290900,4
95,4JHIOQE4nAtUSfGuzDLjYa,Send My Love (To Your New Lover),Adele,0,2016-05-16,0.688,0.532,6,-8.361,0,0.0356,3.08e-06,0.172,0.565,164.068,223079,4
96,0WGzoXYjWNl5lZKiu376oV,Vi mot världen,Veronica Maggio,0,2016-05-06,0.735,0.783,6,-3.873,1,0.0117,1.59e-05,0.0664,0.958,108.967,192857,4
97,0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),Rihanna,78,2016-04-29,0.631,0.927,9,-2.787,0,0.199,0.119,0.148,0.465,123.962,222160,4
98,7LiNMM6UT9eHyDHbLlRfAk,Fire in the Rain,Måns Zelmerlöw,41,2016-05-04,0.602,0.707,6,-4.878,1,0.0455,0.0,0.191,0.486,101.955,193387,4
99,46NBoIAHrmR7qcUGCIFEjR,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,66,2016-05-13,0.367,0.915,9,-3.456,0,0.0022,5.81e-05,0.0905,0.365,110.169,207273,4
100,1xznGGDReH1oQq0xzbwXa3,One Dance,Kyla,0,2016-05-06,0.791,0.619,1,-5.886,1,0.00784,0.00423,0.351,0.371,103.989,173987,4
101,6M6lsQB4OhqL41eld29PeC,Love The Way You Lie (Part II) - Pt. 2,Eminem,64,2010-11-16,0.469,0.833,10,-4.487,1,0.3,0.0,0.056,0.402,166.526,296227,4
102,0zhzkkSXFj60Y5fzb2j9hU,King,Lauren Aquilina,58,2012-10-22,0.693,0.205,4,-9.403,1,0.901,0.0,0.103,0.236,82.44,238000,4
103,0ncp94ULTBgS0U3GZD80AC,Smoke Filled Room - Acoustic Session,Mako,26,2016-03-04,0.735,0.43,9,-9.532,1,0.573,0.0,0.111,0.522,129.942,189660,4
104,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),SHY Martin,69,2016-04-15,0.632,0.575,5,-6.478,1,0.0225,1.81e-06,0.104,0.188,90.037,183414,4
105,0yuBwKZJLISISw2jxv0KMu,I Wanna Know,Nico & Vinz,0,2016-04-01,0.652,0.819,2,-3.681,1,0.0776,0.0,0.097,0.515,115.916,240413,4
106,4nYKcVxSChmk3RvFbZjYob,L'amour toujours - Radio Edit,Delaney Jane,49,2015-09-22,0.591,0.931,3,-2.867,1,0.00763,0.000216,0.153,0.17,129.975,162462,4
107,7s1upm7yr7ZjrzXMwHawtG,Sexual Healing - Kygo Remix,Kygo,63,2015-04-27,0.689,0.68,0,-7.196,0,0.321,0.0211,0.0431,0.646,100.987,368317,4
108,1lzRxwbdl86iJlYMz48KoD,J'ai cherché,Amir,53,2016-04-29,0.566,0.875,1,-4.818,1,0.0263,0.0,0.17,0.489,120.061,212280,4
109,2Vhd5uZB4brKHmM0MNxkZo,Raging (feat. Kodaline),Kodaline,59,2016-05-13,0.55,0.689,3,-7.76,0,0.0498,0.0,0.207,0.408,99.904,224487,4
110,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,76,2016-05-06,0.666,0.83,0,-5.715,1,0.0123,0.0,0.191,0.702,113.03,236002,4
111,6T506SFlFUVVNvnmCiVZR0,Dangerous Woman,Ariana Grande,0,2016-03-11,0.662,0.618,7,-5.26,1,0.0537,0.0,0.355,0.261,134.022,235947,3
112,46THN9jjPWhSqFUu6YsBhv,Panda,Desiigner,0,2016-02-26,0.679,0.734,10,-5.542,0,0.0241,1.65e-06,0.369,0.245,145.028,247867,4
113,3B5UbSndRz907IZhhmUfLi,Count on Me,Bruno Mars,68,2010-10-05,0.589,0.389,0,-5.972,1,0.851,0.0,0.0772,0.501,89.1,197470,4
114,6b3b7lILUJqXcp6w9wNQSm,Cheap Thrills (feat. Sean Paul),Sean Paul,66,2016-02-11,0.592,0.8,6,-4.931,0,0.0561,2.01e-06,0.0775,0.728,89.972,224813,4
115,2Aa1wE8ofs2tu59TOQrZKW,Cake By The Ocean,DNCE,0,2015-10-23,0.774,0.765,4,-5.503,0,0.156,0.0,0.0523,0.908,119.018,218440,4
116,5s5t0OFg9lIlBFaCI14K1i,She Will Be Loved,Maroon 5,0,2002-06-25,0.524,0.711,0,-5.494,0,0.0567,0.0,0.134,0.539,203.867,257133,4
117,5L9THbmMKB6ZlHlMgzaXHf,Coconut Tree,Nicole Scherzinger,0,2010-01-01,0.687,0.855,7,-5.341,0,0.0486,0.0,0.233,0.647,130.029,218373,4
118,4h0zU3O9R5xzuTmNO7dNDU,Lost Boy,Ruth B.,71,2015-08-21,0.71,0.0565,7,-15.099,1,0.965,0.0,0.0889,0.348,123.994,275280,4
119,6qC8Jj1XOxknPm8N7EbzKX,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,0,2015-04-14,0.458,0.623,5,-7.109,1,0.322,5.08e-06,0.11,0.417,147.635,208666,4
120,0KMYgSe9JWHloFeEVBU6qq,"Me, Myself & I",Bebe Rexha,0,2015-10-14,0.755,0.686,0,-6.106,0,0.0174,0.0,0.11,0.386,111.977,252142,4
121,5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),Francesco Yates,75,2015-09-25,0.636,0.815,5,-5.098,0,0.0185,0.0,0.163,0.636,123.063,219043,4
122,6Knv6wdA0luoMUuuoYi2i1,My House,Flo Rida,75,2015-04-07,0.688,0.702,7,-4.792,0,0.0215,0.0,0.128,0.74,94.006,192191,4
123,0IKK48xF4eEdfofyaeKWWO,PILLOWTALK,ZAYN,58,2016-08-22,0.588,0.702,11,-4.271,1,0.104,0.0,0.089,0.429,124.909,203686,4
124,59A6lBd9QmcD8rQTZPj1xD,Dying for You (feat. Alex Aris) - Radio Edit,Alex Aris,50,2016-01-15,0.686,0.582,10,-6.088,1,0.489,8.09e-06,0.082,0.437,121.97,198971,4
125,5RWVNSrc67mkSBVOXgNJlb,Mama Said,Lukas Graham,0,2015-10-30,0.716,0.867,7,-4.778,0,0.0228,5.62e-06,0.399,0.546,83.948,206756,4
126,70eDxAyAraNTiD6lx2ZEnH,Ex's & Oh's,Elle King,70,2015-02-13,0.612,0.921,7,-2.882,1,0.0183,0.0,0.0576,0.446,139.988,202173,4
127,0ZXh2bDEydMedec3HYOeZs,Rolling Stone,Niykee Heaton,36,2014-09-09,0.462,0.715,9,-4.652,1,0.215,0.0,0.0934,0.139,176.109,241754,4
128,7crplFzt7spG80NCbpmuCp,I Know What You Did Last Summer,Camila Cabello,0,2015-11-20,0.657,0.769,9,-4.591,0,0.123,0.0,0.245,0.712,113.966,223827,4
129,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,81,2015-12-04,0.491,0.693,0,-6.487,0,0.211,6.92e-06,0.325,0.412,90.027,258267,4
130,7fPHfBCyKE3aVCBjE4DAvl,In The Night,The Weeknd,0,2015-08-28,0.48,0.682,7,-4.94,1,0.0696,0.0,0.0463,0.506,167.939,235653,3
131,2uEJanMvnA1dXgX1ASnPQm,One Call Away,Charlie Puth,53,2015-08-21,0.665,0.62,1,-5.43,1,0.417,0.0,0.113,0.451,91.008,192075,4
132,5vePTY9divQ07aeCglsC5P,Lagom,Darin,0,2015-09-25,0.487,0.809,0,-7.232,1,0.0022,0.0,0.108,0.422,106.17,209973,4
133,6ZANrVuAMp2rpjhfbOuJly,Same Old Love,Selena Gomez,68,2015-10-09,0.672,0.593,11,-4.01,0,0.0223,0.0,0.214,0.438,98.02,229080,4
134,0QQG0RovnsfKUdHJIsJ39f,Bang My Head (feat. Sia & Fetty Wap),David Guetta,46,2015-10-30,0.599,0.869,0,-3.697,1,0.0525,0.00719,0.103,0.593,108.061,193333,4
135,3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,82,2015-05-15,0.734,0.637,4,-5.677,0,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4
136,1wiO0Gs4mLICDYsulNkmdH,Allt jag behöver,Miriam Bryant,0,2015-11-29,0.694,0.636,10,-6.215,1,0.0441,6.41e-06,0.0641,0.709,151.96,163657,4
137,3POvBeMRTKRo2GYJInADSA,Not Too Young,Sabina Ddumba,0,2015-10-30,0.47,0.662,0,-5.33,0,0.01,0.0,0.345,0.483,183.579,243600,4
138,7vfWgVGiLgnGbInU5lvSQg,I Took A Pill In Ibiza - Seeb Remix,Seeb,0,2015-07-24,0.673,0.79,7,-4.663,0,0.037,9.95e-06,0.0875,0.705,102.013,199227,4
139,16OIrRrUK67v2C2rgyb0pv,Ett sista glas,Miriam Bryant,0,2015-10-25,0.661,0.373,10,-9.14,0,0.0374,0.0,0.107,0.395,120.031,186086,4
140,1brwdYwjltrJo7WHpIvbYt,Faded,Alan Walker,0,2015-12-04,0.589,0.651,6,-5.097,1,0.0291,3.2e-06,0.111,0.166,90.011,212627,4
141,7gBj0VgcuAgkXkiRRYvSmK,Stay (feat. Maty Noyes),Maty Noyes,59,2015-12-04,0.648,0.736,8,-7.948,1,0.0444,0.000137,0.171,0.378,103.027,239465,4
142,2BVVmJQZv4fOPWavI9mkIj,Broken Arrows,Avicii,0,2015-10-02,0.634,0.674,7,-7.145,1,0.0487,0.00116,0.102,0.298,115.995,232760,4
143,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,Coldplay,75,2015-12-04,0.638,0.924,7,-3.887,1,0.00205,0.000175,0.149,0.53,111.995,263787,4
144,1zuGHW5axtzu3NNrEr4vvY,She Belongs to the Game,Young Lito,60,2015-10-19,0.656,0.393,9,-9.19,0,0.0185,0.000604,0.0903,0.535,93.978,246857,4
145,4dbV37qzkwZOnkGVpsR0Q7,7 Years,Lukas Graham,0,2015-10-30,0.732,0.484,10,-5.835,1,0.29,0.0,0.387,0.308,119.884,237300,4
146,7vldwy3gdhmPRKWSCi8H61,The Feeling,Halsey,0,2015-11-13,0.525,0.809,1,-6.185,0,0.0819,1.22e-06,0.0971,0.21,127.073,244907,4
